06-18 23:42:23 INFO Whole dataset size: 192556
06-18 23:55:11 INFO E: 0 B: 154
06-18 23:55:11 INFO E: 0 B: 155
06-18 23:55:12 INFO E: 0 B: 156
06-18 23:55:12 INFO E: 0 B: 157
06-18 23:55:13 INFO E: 0 B: 158
06-18 23:55:14 INFO E: 0 B: 159
06-18 23:55:14 INFO E: 0 B: 160
06-18 23:55:15 INFO E: 0 B: 161
06-18 23:55:16 INFO E: 0 B: 162
06-18 23:55:16 INFO E: 0 B: 163
06-18 23:55:17 INFO E: 0 B: 164
06-18 23:55:17 INFO E: 0 B: 165
06-18 23:55:18 INFO E: 0 B: 166
06-18 23:55:18 INFO E: 0 B: 167
06-18 23:55:19 INFO E: 0 B: 168
06-18 23:55:20 INFO E: 0 B: 169
06-18 23:55:21 INFO E: 0 B: 170
06-18 23:55:21 INFO E: 0 B: 171
06-18 23:55:22 INFO E: 0 B: 172
06-18 23:55:22 INFO E: 0 B: 173
06-18 23:55:23 INFO E: 0 B: 174
06-18 23:55:24 INFO E: 0 B: 175
06-18 23:55:24 INFO E: 0 B: 176
06-18 23:55:25 INFO E: 0 B: 177
06-18 23:55:25 INFO E: 0 B: 178
06-18 23:55:26 INFO E: 0 B: 179
06-18 23:55:26 INFO E: 0 B: 180
06-18 23:55:27 INFO E: 0 B: 181
06-18 23:55:27 INFO E: 0 B: 182
06-18 23:55:28 INFO E: 0 B: 183
06-18 23:55:29 INFO E: 0 B: 184
06-18 23:55:29 INFO E: 0 B: 185
06-18 23:55:30 INFO E: 0 B: 186
06-18 23:55:30 INFO E: 0 B: 187
06-18 23:55:31 INFO E: 0 B: 188
06-18 23:55:31 INFO E: 0 B: 189
06-18 23:55:32 INFO E: 0 B: 190
06-18 23:55:32 INFO E: 0 B: 191
06-18 23:55:33 INFO E: 0 B: 192
06-18 23:55:33 INFO E: 0 B: 193
06-18 23:55:34 INFO E: 0 B: 194
06-18 23:55:34 INFO E: 0 B: 195
06-18 23:55:35 INFO E: 0 B: 196
06-18 23:55:36 INFO E: 0 B: 197
06-18 23:55:36 INFO E: 0 B: 198
06-18 23:55:37 INFO E: 0 B: 199
06-18 23:55:38 INFO E: 0 B: 200
06-18 23:55:38 INFO E: 0 B: 201
06-18 23:55:39 INFO E: 0 B: 202
06-18 23:55:39 INFO E: 0 B: 203
06-18 23:55:40 INFO E: 0 B: 204
06-18 23:55:40 INFO E: 0 B: 205
06-18 23:55:41 INFO E: 0 B: 206
06-18 23:55:41 INFO E: 0 B: 207
06-18 23:55:42 INFO E: 0 B: 208
06-18 23:55:43 INFO E: 0 B: 209
06-18 23:55:43 INFO E: 0 B: 210
06-18 23:55:44 INFO E: 0 B: 211
06-18 23:55:44 INFO E: 0 B: 212
06-18 23:55:45 INFO E: 0 B: 213
06-18 23:55:46 INFO E: 0 B: 214
06-18 23:55:46 INFO E: 0 B: 215
06-18 23:55:47 INFO E: 0 B: 216
06-18 23:55:48 INFO E: 0 B: 217
06-18 23:55:48 INFO E: 0 B: 218
06-18 23:55:49 INFO E: 0 B: 219
06-18 23:55:49 INFO E: 0 B: 220
06-18 23:55:50 INFO E: 0 B: 221
06-18 23:55:51 INFO E: 0 B: 222
06-18 23:55:51 INFO E: 0 B: 223
06-18 23:55:52 INFO E: 0 B: 224
06-18 23:55:52 INFO E: 0 B: 225
06-18 23:55:53 INFO E: 0 B: 226
06-18 23:55:53 INFO E: 0 B: 227
06-18 23:55:54 INFO E: 0 B: 228
06-18 23:55:55 INFO E: 0 B: 229
06-18 23:55:55 INFO E: 0 B: 230
06-18 23:55:56 INFO E: 0 B: 231
06-18 23:55:57 INFO E: 0 B: 232
06-18 23:55:57 INFO E: 0 B: 233
06-18 23:55:58 INFO E: 0 B: 234
06-18 23:55:59 INFO E: 0 B: 235
06-18 23:55:59 INFO E: 0 B: 236
06-18 23:56:00 INFO E: 0 B: 237
06-18 23:56:00 INFO E: 0 B: 238
06-18 23:56:01 INFO E: 0 B: 239
06-18 23:56:02 INFO E: 0 B: 240
06-18 23:56:02 INFO E: 0 B: 241
06-18 23:56:03 INFO E: 0 B: 242
06-18 23:56:04 INFO E: 0 B: 243
06-18 23:56:04 INFO E: 0 B: 244
06-18 23:56:05 INFO E: 0 B: 245
06-18 23:56:05 INFO E: 0 B: 246
06-18 23:56:06 INFO E: 0 B: 247
06-18 23:56:06 INFO E: 0 B: 248
06-18 23:56:07 INFO E: 0 B: 249
06-18 23:56:07 INFO E: 0 B: 250
06-18 23:56:08 INFO E: 0 B: 251
06-18 23:56:09 INFO E: 0 B: 252
06-18 23:56:09 INFO E: 0 B: 253
06-18 23:56:10 INFO E: 0 B: 254
06-18 23:56:11 INFO E: 0 B: 255
06-18 23:56:11 INFO E: 0 B: 256
06-18 23:56:12 INFO E: 0 B: 257
06-18 23:56:13 INFO E: 0 B: 258
06-18 23:56:13 INFO E: 0 B: 259
06-18 23:56:14 INFO E: 0 B: 260
06-18 23:56:14 INFO E: 0 B: 261
06-18 23:56:15 INFO E: 0 B: 262
06-18 23:56:15 INFO E: 0 B: 263
06-18 23:56:16 INFO E: 0 B: 264
06-18 23:56:16 INFO E: 0 B: 265
06-18 23:56:17 INFO E: 0 B: 266
06-18 23:56:18 INFO E: 0 B: 267
06-18 23:56:18 INFO E: 0 B: 268
06-18 23:56:19 INFO E: 0 B: 269
06-18 23:56:20 INFO E: 0 B: 270
06-18 23:56:20 INFO E: 0 B: 271
06-18 23:56:21 INFO E: 0 B: 272
06-18 23:56:22 INFO E: 0 B: 273
06-18 23:56:22 INFO E: 0 B: 274
06-18 23:56:23 INFO E: 0 B: 275
06-18 23:56:23 INFO E: 0 B: 276
06-18 23:56:24 INFO E: 0 B: 277
06-18 23:56:25 INFO E: 0 B: 278
06-18 23:56:25 INFO E: 0 B: 279
06-18 23:56:26 INFO E: 0 B: 280
06-18 23:56:26 INFO E: 0 B: 281
06-18 23:56:27 INFO E: 0 B: 282
06-18 23:56:27 INFO E: 0 B: 283
06-18 23:56:28 INFO E: 0 B: 284
06-18 23:56:29 INFO E: 0 B: 285
06-18 23:56:29 INFO E: 0 B: 286
06-18 23:56:30 INFO E: 0 B: 287
06-18 23:56:30 INFO E: 0 B: 288
06-18 23:56:31 INFO E: 0 B: 289
06-18 23:56:32 INFO E: 0 B: 290
06-18 23:56:32 INFO E: 0 B: 291
06-18 23:56:33 INFO E: 0 B: 292
06-18 23:56:33 INFO E: 0 B: 293
06-18 23:56:34 INFO E: 0 B: 294
06-18 23:56:35 INFO E: 0 B: 295
06-18 23:56:35 INFO E: 0 B: 296
06-18 23:56:36 INFO E: 0 B: 297
06-18 23:56:36 INFO E: 0 B: 298
06-18 23:56:37 INFO E: 0 B: 299
06-18 23:56:37 INFO E: 0 B: 300
06-18 23:56:38 INFO E: 0 B: 301
06-18 23:56:38 INFO E: 0 B: 302
06-18 23:56:39 INFO E: 0 B: 303
06-18 23:56:40 INFO E: 0 B: 304
06-18 23:56:40 INFO E: 0 B: 305
06-18 23:56:41 INFO E: 0 B: 306
06-18 23:56:42 INFO E: 0 B: 307
06-18 23:56:42 INFO E: 0 B: 308
06-18 23:56:43 INFO E: 0 B: 309
06-18 23:56:44 INFO E: 0 B: 310
06-18 23:56:44 INFO E: 0 B: 311
06-18 23:56:45 INFO E: 0 B: 312
06-18 23:56:46 INFO E: 0 B: 313
06-18 23:56:46 INFO E: 0 B: 314
06-18 23:56:47 INFO E: 0 B: 315
06-18 23:56:47 INFO E: 0 B: 316
06-18 23:56:48 INFO E: 0 B: 317
06-18 23:56:48 INFO E: 0 B: 318
06-18 23:56:49 INFO E: 0 B: 319
06-18 23:56:50 INFO E: 0 B: 320
06-18 23:56:50 INFO E: 0 B: 321
06-18 23:56:51 INFO E: 0 B: 322
06-18 23:56:52 INFO E: 0 B: 323
06-18 23:56:52 INFO E: 0 B: 324
06-18 23:56:53 INFO E: 0 B: 325
06-18 23:56:53 INFO E: 0 B: 326
06-18 23:56:54 INFO E: 0 B: 327
06-18 23:56:54 INFO E: 0 B: 328
06-18 23:56:55 INFO E: 0 B: 329
06-18 23:56:56 INFO E: 0 B: 330
06-18 23:56:56 INFO E: 0 B: 331
06-18 23:56:57 INFO E: 0 B: 332
06-18 23:56:57 INFO E: 0 B: 333
06-18 23:56:58 INFO E: 0 B: 334
06-18 23:56:58 INFO E: 0 B: 335
06-18 23:56:59 INFO E: 0 B: 336
06-18 23:56:59 INFO E: 0 B: 337
06-18 23:57:00 INFO E: 0 B: 338
06-18 23:57:01 INFO E: 0 B: 339
06-18 23:57:01 INFO E: 0 B: 340
06-18 23:57:02 INFO E: 0 B: 341
06-18 23:57:02 INFO E: 0 B: 342
06-18 23:57:03 INFO E: 0 B: 343
06-18 23:57:04 INFO E: 0 B: 344
06-18 23:57:04 INFO E: 0 B: 345
06-18 23:57:05 INFO E: 0 B: 346
06-18 23:57:06 INFO E: 0 B: 347
06-18 23:57:06 INFO E: 0 B: 348
06-18 23:57:07 INFO E: 0 B: 349
06-18 23:57:07 INFO E: 0 B: 350
06-18 23:57:08 INFO E: 0 B: 351
06-18 23:57:08 INFO E: 0 B: 352
06-18 23:57:09 INFO E: 0 B: 353
06-18 23:57:10 INFO E: 0 B: 354
06-18 23:57:11 INFO E: 0 B: 355
06-18 23:57:11 INFO E: 0 B: 356
06-18 23:57:12 INFO E: 0 B: 357
06-18 23:57:13 INFO E: 0 B: 358
06-18 23:57:13 INFO E: 0 B: 359
06-18 23:57:14 INFO E: 0 B: 360
06-18 23:57:14 INFO E: 0 B: 361
06-18 23:57:15 INFO E: 0 B: 362
06-18 23:57:15 INFO E: 0 B: 363
06-18 23:57:16 INFO E: 0 B: 364
06-18 23:57:17 INFO E: 0 B: 365
06-18 23:57:18 INFO E: 0 B: 366
06-18 23:57:18 INFO E: 0 B: 367
06-18 23:57:19 INFO E: 0 B: 368
06-18 23:57:19 INFO E: 0 B: 369
06-18 23:57:20 INFO E: 0 B: 370
06-18 23:57:20 INFO E: 0 B: 371
06-18 23:57:21 INFO E: 0 B: 372
06-18 23:57:21 INFO E: 0 B: 373
06-18 23:57:22 INFO E: 0 B: 374
06-18 23:57:23 INFO E: 0 B: 375
06-18 23:57:23 INFO E: 0 B: 376
06-18 23:57:24 INFO E: 0 B: 377
06-18 23:57:24 INFO E: 0 B: 378
06-18 23:57:25 INFO E: 0 B: 379
06-18 23:57:26 INFO E: 0 B: 380
06-18 23:57:26 INFO E: 0 B: 381
06-18 23:57:27 INFO E: 0 B: 382
06-18 23:57:27 INFO E: 0 B: 383
06-18 23:57:28 INFO E: 0 B: 384
06-18 23:57:29 INFO E: 0 B: 385
06-18 23:57:29 INFO E: 0 B: 386
06-18 23:57:30 INFO E: 0 B: 387
06-18 23:57:30 INFO E: 0 B: 388
06-18 23:57:31 INFO E: 0 B: 389
06-18 23:57:32 INFO E: 0 B: 390
06-18 23:57:32 INFO E: 0 B: 391
06-18 23:57:32 INFO E: 0 B: 392
06-18 23:57:33 INFO E: 0 B: 393
06-18 23:57:34 INFO E: 0 B: 394
06-18 23:57:34 INFO E: 0 B: 395
06-18 23:57:35 INFO E: 0 B: 396
06-18 23:57:35 INFO E: 0 B: 397
06-18 23:57:36 INFO E: 0 B: 398
06-18 23:57:37 INFO E: 0 B: 399
06-18 23:57:37 INFO E: 0 B: 400
06-18 23:57:38 INFO E: 0 B: 401
06-18 23:57:38 INFO E: 0 B: 402
06-18 23:57:39 INFO E: 0 B: 403
06-18 23:57:40 INFO E: 0 B: 404
06-18 23:57:40 INFO E: 0 B: 405
06-18 23:57:41 INFO E: 0 B: 406
06-18 23:57:41 INFO E: 0 B: 407
06-18 23:57:42 INFO E: 0 B: 408
06-18 23:57:43 INFO E: 0 B: 409
06-18 23:57:43 INFO E: 0 B: 410
06-18 23:57:44 INFO E: 0 B: 411
06-18 23:57:44 INFO E: 0 B: 412
06-18 23:57:45 INFO E: 0 B: 413
06-18 23:57:46 INFO E: 0 B: 414
06-18 23:57:46 INFO E: 0 B: 415
06-18 23:57:47 INFO E: 0 B: 416
06-18 23:57:47 INFO E: 0 B: 417
06-18 23:57:48 INFO E: 0 B: 418
06-18 23:57:48 INFO E: 0 B: 419
06-18 23:57:49 INFO E: 0 B: 420
06-18 23:57:50 INFO E: 0 B: 421
06-18 23:57:50 INFO E: 0 B: 422
06-18 23:57:51 INFO E: 0 B: 423
06-18 23:57:51 INFO E: 0 B: 424
06-18 23:57:52 INFO E: 0 B: 425
06-18 23:57:52 INFO E: 0 B: 426
06-18 23:57:53 INFO E: 0 B: 427
06-18 23:57:54 INFO E: 0 B: 428
06-18 23:57:54 INFO E: 0 B: 429
06-18 23:57:55 INFO E: 0 B: 430
06-18 23:57:55 INFO E: 0 B: 431
06-18 23:57:56 INFO E: 0 B: 432
06-18 23:57:56 INFO E: 0 B: 433
06-18 23:57:57 INFO E: 0 B: 434
06-18 23:57:58 INFO E: 0 B: 435
06-18 23:57:58 INFO E: 0 B: 436
06-18 23:57:59 INFO E: 0 B: 437
06-18 23:57:59 INFO E: 0 B: 438
06-18 23:58:00 INFO E: 0 B: 439
06-18 23:58:00 INFO E: 0 B: 440
06-18 23:58:01 INFO E: 0 B: 441
06-18 23:58:02 INFO E: 0 B: 442
06-18 23:58:02 INFO E: 0 B: 443
06-18 23:58:03 INFO E: 0 B: 444
06-18 23:58:04 INFO E: 0 B: 445
06-18 23:58:04 INFO E: 0 B: 446
06-18 23:58:05 INFO E: 0 B: 447
06-18 23:58:06 INFO E: 0 B: 448
06-18 23:58:06 INFO E: 0 B: 449
06-18 23:58:07 INFO E: 0 B: 450
06-18 23:58:07 INFO E: 0 B: 451
06-18 23:58:08 INFO E: 0 B: 452
06-18 23:58:09 INFO E: 0 B: 453
06-18 23:58:09 INFO E: 0 B: 454
06-18 23:58:10 INFO E: 0 B: 455
06-18 23:58:10 INFO E: 0 B: 456
06-18 23:58:11 INFO E: 0 B: 457
06-18 23:58:11 INFO E: 0 B: 458
06-18 23:58:12 INFO E: 0 B: 459
06-18 23:58:12 INFO E: 0 B: 460
06-18 23:58:13 INFO E: 0 B: 461
06-18 23:58:14 INFO E: 0 B: 462
06-18 23:58:14 INFO E: 0 B: 463
06-18 23:58:15 INFO E: 0 B: 464
06-18 23:58:16 INFO E: 0 B: 465
06-18 23:58:16 INFO E: 0 B: 466
06-18 23:58:17 INFO E: 0 B: 467
06-18 23:58:17 INFO E: 0 B: 468
06-18 23:58:18 INFO E: 0 B: 469
06-18 23:58:19 INFO E: 0 B: 470
06-18 23:58:19 INFO E: 0 B: 471
06-18 23:58:20 INFO E: 0 B: 472
06-18 23:58:20 INFO E: 0 B: 473
06-18 23:58:21 INFO E: 0 B: 474
06-18 23:58:22 INFO E: 0 B: 475
06-18 23:58:22 INFO E: 0 B: 476
06-18 23:58:23 INFO E: 0 B: 477
06-18 23:58:24 INFO E: 0 B: 478
06-18 23:58:24 INFO E: 0 B: 479
06-18 23:58:25 INFO E: 0 B: 480
06-18 23:58:25 INFO E: 0 B: 481
06-18 23:58:26 INFO E: 0 B: 482
06-18 23:58:26 INFO E: 0 B: 483
06-18 23:58:27 INFO E: 0 B: 484
06-18 23:58:28 INFO E: 0 B: 485
06-18 23:58:28 INFO E: 0 B: 486
06-18 23:58:29 INFO E: 0 B: 487
06-18 23:58:29 INFO E: 0 B: 488
06-18 23:58:30 INFO E: 0 B: 489
06-18 23:58:31 INFO E: 0 B: 490
06-18 23:58:31 INFO E: 0 B: 491
06-18 23:58:31 INFO E: 0 B: 492
06-18 23:58:32 INFO E: 0 B: 493
06-18 23:58:33 INFO E: 0 B: 494
06-18 23:58:33 INFO E: 0 B: 495
06-18 23:58:34 INFO E: 0 B: 496
06-18 23:58:35 INFO E: 0 B: 497
06-18 23:58:35 INFO E: 0 B: 498
06-18 23:58:36 INFO E: 0 B: 499
06-18 23:58:37 INFO E: 0 B: 500
06-18 23:58:37 INFO E: 0 B: 501
06-18 23:58:38 INFO E: 0 B: 502
06-18 23:58:38 INFO E: 0 B: 503
06-18 23:58:39 INFO E: 0 B: 504
06-18 23:58:40 INFO E: 0 B: 505
06-18 23:58:40 INFO E: 0 B: 506
06-18 23:58:41 INFO E: 0 B: 507
06-18 23:58:42 INFO E: 0 B: 508
06-18 23:58:42 INFO E: 0 B: 509
06-18 23:58:43 INFO E: 0 B: 510
06-18 23:58:43 INFO E: 0 B: 511
06-18 23:58:44 INFO E: 0 B: 512
06-18 23:58:44 INFO E: 0 B: 513
06-18 23:58:45 INFO E: 0 B: 514
06-18 23:58:46 INFO E: 0 B: 515
06-18 23:58:47 INFO E: 0 B: 516
06-18 23:58:47 INFO E: 0 B: 517
06-18 23:58:48 INFO E: 0 B: 518
06-18 23:58:48 INFO E: 0 B: 519
06-18 23:58:49 INFO E: 0 B: 520
06-18 23:58:50 INFO E: 0 B: 521
06-18 23:58:51 INFO E: 0 B: 522
06-18 23:58:52 INFO E: 0 B: 523
06-18 23:58:52 INFO E: 0 B: 524
06-18 23:58:53 INFO E: 0 B: 525
06-18 23:58:53 INFO E: 0 B: 526
06-18 23:58:54 INFO E: 0 B: 527
06-18 23:58:55 INFO E: 0 B: 528
06-18 23:58:55 INFO E: 0 B: 529
06-18 23:58:56 INFO E: 0 B: 530
06-18 23:58:57 INFO E: 0 B: 531
06-18 23:58:57 INFO E: 0 B: 532
06-18 23:58:58 INFO E: 0 B: 533
06-18 23:58:59 INFO E: 0 B: 534
06-18 23:58:59 INFO E: 0 B: 535
06-18 23:59:00 INFO E: 0 B: 536
06-18 23:59:00 INFO E: 0 B: 537
06-18 23:59:01 INFO E: 0 B: 538
06-18 23:59:01 INFO E: 0 B: 539
06-18 23:59:02 INFO E: 0 B: 540
06-18 23:59:03 INFO E: 0 B: 541
06-18 23:59:04 INFO E: 0 B: 542
06-18 23:59:04 INFO E: 0 B: 543
06-18 23:59:05 INFO E: 0 B: 544
06-18 23:59:05 INFO E: 0 B: 545
06-18 23:59:06 INFO E: 0 B: 546
06-18 23:59:06 INFO E: 0 B: 547
06-18 23:59:07 INFO E: 0 B: 548
06-18 23:59:08 INFO E: 0 B: 549
06-18 23:59:08 INFO E: 0 B: 550
06-18 23:59:09 INFO E: 0 B: 551
06-18 23:59:10 INFO E: 0 B: 552
06-18 23:59:10 INFO E: 0 B: 553
06-18 23:59:11 INFO E: 0 B: 554
06-18 23:59:11 INFO E: 0 B: 555
06-18 23:59:12 INFO E: 0 B: 556
06-18 23:59:12 INFO E: 0 B: 557
06-18 23:59:13 INFO E: 0 B: 558
06-18 23:59:14 INFO E: 0 B: 559
06-18 23:59:14 INFO E: 0 B: 560
06-18 23:59:15 INFO E: 0 B: 561
06-18 23:59:16 INFO E: 0 B: 562
06-18 23:59:16 INFO E: 0 B: 563
06-18 23:59:17 INFO E: 0 B: 564
06-18 23:59:17 INFO E: 0 B: 565
06-18 23:59:18 INFO E: 0 B: 566
06-18 23:59:19 INFO E: 0 B: 567
06-18 23:59:19 INFO E: 0 B: 568
06-18 23:59:20 INFO E: 0 B: 569
06-18 23:59:20 INFO E: 0 B: 570
06-18 23:59:21 INFO E: 0 B: 571
06-18 23:59:22 INFO E: 0 B: 572
06-18 23:59:23 INFO E: 0 B: 573
06-18 23:59:23 INFO E: 0 B: 574
06-18 23:59:24 INFO E: 0 B: 575
06-18 23:59:24 INFO E: 0 B: 576
06-18 23:59:25 INFO E: 0 B: 577
06-18 23:59:26 INFO E: 0 B: 578
06-18 23:59:26 INFO E: 0 B: 579
06-18 23:59:27 INFO E: 0 B: 580
06-18 23:59:28 INFO E: 0 B: 581
06-18 23:59:28 INFO E: 0 B: 582
06-18 23:59:29 INFO E: 0 B: 583
06-18 23:59:29 INFO E: 0 B: 584
06-18 23:59:30 INFO E: 0 B: 585
