06-28 13:57:40 INFO Using approximated mean, std
06-28 14:01:25 INFO E: 0 B: 67
06-28 14:01:26 INFO E: 0 B: 68
06-28 14:01:28 INFO E: 0 B: 69
06-28 14:01:28 INFO E: 0 B: 70
06-28 14:01:30 INFO E: 0 B: 71
06-28 14:01:31 INFO E: 0 B: 72
06-28 14:01:32 INFO E: 0 B: 73
06-28 14:01:33 INFO E: 0 B: 74
06-28 14:01:34 INFO E: 0 B: 75
06-28 14:01:35 INFO E: 0 B: 76
06-28 14:01:36 INFO E: 0 B: 77
06-28 14:01:37 INFO E: 0 B: 78
06-28 14:01:39 INFO E: 0 B: 79
06-28 14:01:40 INFO E: 0 B: 80
06-28 14:01:41 INFO E: 0 B: 81
06-28 14:01:42 INFO E: 0 B: 82
06-28 14:01:44 INFO E: 0 B: 83
06-28 14:01:45 INFO E: 0 B: 84
06-28 14:01:45 INFO E: 0 B: 85
06-28 14:01:47 INFO E: 0 B: 86
06-28 14:01:47 INFO E: 0 B: 87
06-28 14:01:48 INFO E: 0 B: 88
06-28 14:01:49 INFO E: 0 B: 89
06-28 14:01:50 INFO E: 0 B: 90
06-28 14:01:51 INFO E: 0 B: 91
06-28 14:01:52 INFO E: 0 B: 92
06-28 14:01:53 INFO E: 0 B: 93
06-28 14:01:55 INFO E: 0 B: 94
06-28 14:01:56 INFO E: 0 B: 95
06-28 14:01:57 INFO E: 0 B: 96
06-28 14:01:58 INFO E: 0 B: 97
06-28 14:01:59 INFO E: 0 B: 98
06-28 14:02:00 INFO E: 0 B: 99
06-28 14:02:02 INFO E: 0 B: 100
06-28 14:02:03 INFO E: 0 B: 101
06-28 14:02:03 INFO E: 0 B: 102
06-28 14:02:04 INFO E: 0 B: 103
06-28 14:02:06 INFO E: 0 B: 104
06-28 14:02:07 INFO E: 0 B: 105
06-28 14:02:08 INFO E: 0 B: 106
06-28 14:02:09 INFO E: 0 B: 107
06-28 14:02:11 INFO E: 0 B: 108
06-28 14:02:11 INFO E: 0 B: 109
06-28 14:02:13 INFO E: 0 B: 110
06-28 14:02:14 INFO E: 0 B: 111
06-28 14:02:15 INFO E: 0 B: 112
06-28 14:02:16 INFO E: 0 B: 113
06-28 14:02:18 INFO E: 0 B: 114
06-28 14:02:19 INFO E: 0 B: 115
06-28 14:02:20 INFO E: 0 B: 116
06-28 14:02:21 INFO E: 0 B: 117
06-28 14:02:22 INFO E: 0 B: 118
06-28 14:02:24 INFO E: 0 B: 119
06-28 14:02:25 INFO E: 0 B: 120
06-28 14:02:26 INFO E: 0 B: 121
06-28 14:02:27 INFO E: 0 B: 122
06-28 14:02:28 INFO E: 0 B: 123
06-28 14:02:29 INFO E: 0 B: 124
06-28 14:02:31 INFO E: 0 B: 125
06-28 14:02:31 INFO E: 0 B: 126
06-28 14:02:33 INFO E: 0 B: 127
06-28 14:02:34 INFO E: 0 B: 128
06-28 14:02:35 INFO E: 0 B: 129
06-28 14:02:36 INFO E: 0 B: 130
06-28 14:02:37 INFO E: 0 B: 131
06-28 14:02:38 INFO E: 0 B: 132
06-28 14:02:39 INFO E: 0 B: 133
06-28 14:02:40 INFO E: 0 B: 134
06-28 14:02:41 INFO E: 0 B: 135
06-28 14:02:42 INFO E: 0 B: 136
06-28 14:02:43 INFO E: 0 B: 137
06-28 14:02:44 INFO E: 0 B: 138
06-28 14:02:45 INFO E: 0 B: 139
06-28 14:02:46 INFO E: 0 B: 140
06-28 14:02:47 INFO E: 0 B: 141
06-28 14:02:48 INFO E: 0 B: 142
06-28 14:02:49 INFO E: 0 B: 143
06-28 14:02:51 INFO E: 0 B: 144
06-28 14:02:52 INFO E: 0 B: 145
06-28 14:02:53 INFO E: 0 B: 146
06-28 14:02:54 INFO E: 0 B: 147
06-28 14:02:55 INFO E: 0 B: 148
06-28 14:02:56 INFO E: 0 B: 149
06-28 14:02:57 INFO E: 0 B: 150
06-28 14:02:58 INFO E: 0 B: 151
06-28 14:02:59 INFO E: 0 B: 152
06-28 14:03:01 INFO E: 0 B: 153
06-28 14:03:02 INFO E: 0 B: 154
06-28 14:03:04 INFO E: 0 B: 155
06-28 14:03:05 INFO E: 0 B: 156
06-28 14:03:06 INFO E: 0 B: 157
06-28 14:03:07 INFO E: 0 B: 158
06-28 14:03:08 INFO E: 0 B: 159
06-28 14:03:10 INFO E: 0 B: 160
06-28 14:03:11 INFO E: 0 B: 161
06-28 14:03:12 INFO E: 0 B: 162
06-28 14:03:13 INFO E: 0 B: 163
06-28 14:03:14 INFO E: 0 B: 164
06-28 14:03:15 INFO E: 0 B: 165
06-28 14:03:16 INFO E: 0 B: 166
06-28 14:03:17 INFO E: 0 B: 167
06-28 14:03:18 INFO E: 0 B: 168
06-28 14:03:19 INFO E: 0 B: 169
06-28 14:03:21 INFO E: 0 B: 170
06-28 14:03:22 INFO E: 0 B: 171
06-28 14:03:23 INFO E: 0 B: 172
06-28 14:03:23 INFO E: 0 B: 173
06-28 14:03:25 INFO E: 0 B: 174
06-28 14:03:27 INFO E: 0 B: 175
06-28 14:03:28 INFO E: 0 B: 176
06-28 14:03:29 INFO E: 0 B: 177
06-28 14:03:30 INFO E: 0 B: 178
06-28 14:03:31 INFO E: 0 B: 179
06-28 14:03:32 INFO E: 0 B: 180
06-28 14:03:33 INFO E: 0 B: 181
06-28 14:03:34 INFO E: 0 B: 182
06-28 14:03:35 INFO E: 0 B: 183
06-28 14:03:36 INFO E: 0 B: 184
06-28 14:03:37 INFO E: 0 B: 185
06-28 14:03:38 INFO E: 0 B: 186
06-28 14:03:39 INFO E: 0 B: 187
06-28 14:03:40 INFO E: 0 B: 188
06-28 14:03:41 INFO E: 0 B: 189
06-28 14:03:42 INFO E: 0 B: 190
06-28 14:03:43 INFO E: 0 B: 191
06-28 14:03:44 INFO E: 0 B: 192
06-28 14:03:45 INFO E: 0 B: 193
06-28 14:03:46 INFO E: 0 B: 194
06-28 14:03:47 INFO E: 0 B: 195
06-28 14:03:48 INFO E: 0 B: 196
06-28 14:03:49 INFO E: 0 B: 197
06-28 14:03:50 INFO E: 0 B: 198
06-28 14:03:52 INFO E: 0 B: 199
06-28 14:03:53 INFO E: 0 B: 200
06-28 14:03:53 INFO E: 0 B: 201
06-28 14:03:55 INFO E: 0 B: 202
06-28 14:03:56 INFO E: 0 B: 203
06-28 14:03:56 INFO E: 0 B: 204
06-28 14:03:57 INFO E: 0 B: 205
06-28 14:03:58 INFO E: 0 B: 206
06-28 14:04:00 INFO E: 0 B: 207
06-28 14:04:01 INFO E: 0 B: 208
06-28 14:04:02 INFO E: 0 B: 209
06-28 14:04:04 INFO E: 0 B: 210
06-28 14:04:05 INFO E: 0 B: 211
06-28 14:04:05 INFO E: 0 B: 212
06-28 14:04:07 INFO E: 0 B: 213
06-28 14:04:08 INFO E: 0 B: 214
06-28 14:04:09 INFO E: 0 B: 215
06-28 14:04:10 INFO E: 0 B: 216
06-28 14:04:11 INFO E: 0 B: 217
06-28 14:04:13 INFO E: 0 B: 218
06-28 14:04:14 INFO E: 0 B: 219
06-28 14:04:15 INFO E: 0 B: 220
06-28 14:04:16 INFO E: 0 B: 221
06-28 14:04:17 INFO E: 0 B: 222
06-28 14:04:18 INFO E: 0 B: 223
06-28 14:04:19 INFO E: 0 B: 224
06-28 14:04:20 INFO E: 0 B: 225
06-28 14:04:21 INFO E: 0 B: 226
06-28 14:04:22 INFO E: 0 B: 227
06-28 14:04:23 INFO E: 0 B: 228
06-28 14:04:25 INFO E: 0 B: 229
06-28 14:04:26 INFO E: 0 B: 230
06-28 14:04:27 INFO E: 0 B: 231
06-28 14:04:29 INFO E: 0 B: 232
06-28 14:04:29 INFO E: 0 B: 233
06-28 14:04:31 INFO E: 0 B: 234
06-28 14:04:32 INFO E: 0 B: 235
06-28 14:04:33 INFO E: 0 B: 236
06-28 14:04:35 INFO E: 0 B: 237
06-28 14:04:36 INFO E: 0 B: 238
06-28 14:04:37 INFO E: 0 B: 239
06-28 14:04:38 INFO E: 0 B: 240
06-28 14:04:39 INFO E: 0 B: 241
06-28 14:04:40 INFO E: 0 B: 242
06-28 14:04:41 INFO E: 0 B: 243
06-28 14:04:42 INFO E: 0 B: 244
06-28 14:04:43 INFO E: 0 B: 245
06-28 14:04:44 INFO E: 0 B: 246
06-28 14:04:45 INFO E: 0 B: 247
06-28 14:04:46 INFO E: 0 B: 248
06-28 14:04:47 INFO E: 0 B: 249
06-28 14:04:48 INFO E: 0 B: 250
06-28 14:04:49 INFO E: 0 B: 251
06-28 14:04:50 INFO E: 0 B: 252
06-28 14:04:52 INFO E: 0 B: 253
06-28 14:04:53 INFO E: 0 B: 254
06-28 14:04:54 INFO E: 0 B: 255
06-28 14:04:55 INFO E: 0 B: 256
06-28 14:04:56 INFO E: 0 B: 257
06-28 14:04:57 INFO E: 0 B: 258
06-28 14:04:58 INFO E: 0 B: 259
06-28 14:04:59 INFO E: 0 B: 260
06-28 14:05:01 INFO E: 0 B: 261
06-28 14:05:01 INFO E: 0 B: 262
06-28 14:05:02 INFO E: 0 B: 263
06-28 14:05:03 INFO E: 0 B: 264
06-28 14:05:04 INFO E: 0 B: 265
06-28 14:05:05 INFO E: 0 B: 266
06-28 14:05:06 INFO E: 0 B: 267
06-28 14:05:07 INFO E: 0 B: 268
06-28 14:05:08 INFO E: 0 B: 269
06-28 14:05:10 INFO E: 0 B: 270
06-28 14:05:11 INFO E: 0 B: 271
06-28 14:05:13 INFO E: 0 B: 272
06-28 14:05:14 INFO E: 0 B: 273
06-28 14:05:15 INFO E: 0 B: 274
06-28 14:05:16 INFO E: 0 B: 275
06-28 14:05:17 INFO E: 0 B: 276
06-28 14:05:18 INFO E: 0 B: 277
06-28 14:05:19 INFO E: 0 B: 278
06-28 14:05:20 INFO E: 0 B: 279
06-28 14:05:21 INFO E: 0 B: 280
06-28 14:05:22 INFO E: 0 B: 281
06-28 14:05:23 INFO E: 0 B: 282
06-28 14:05:24 INFO E: 0 B: 283
06-28 14:05:26 INFO E: 0 B: 284
06-28 14:05:27 INFO E: 0 B: 285
06-28 14:05:28 INFO E: 0 B: 286
06-28 14:05:29 INFO E: 0 B: 287
06-28 14:05:30 INFO E: 0 B: 288
06-28 14:05:31 INFO E: 0 B: 289
06-28 14:05:33 INFO E: 0 B: 290
06-28 14:05:34 INFO E: 0 B: 291
06-28 14:05:35 INFO E: 0 B: 292
06-28 14:05:35 INFO E: 0 B: 293
06-28 14:05:36 INFO E: 0 B: 294
06-28 14:05:38 INFO E: 0 B: 295
06-28 14:05:39 INFO E: 0 B: 296
06-28 14:05:39 INFO E: 0 B: 297
06-28 14:05:41 INFO E: 0 B: 298
06-28 14:05:42 INFO E: 0 B: 299
06-28 14:05:43 INFO E: 0 B: 300
06-28 14:05:43 INFO E: 0 B: 301
06-28 14:05:44 INFO E: 0 B: 302
06-28 14:05:46 INFO E: 0 B: 303
06-28 14:05:47 INFO E: 0 B: 304
06-28 14:05:48 INFO E: 0 B: 305
06-28 14:05:49 INFO E: 0 B: 306
06-28 14:05:50 INFO E: 0 B: 307
06-28 14:05:52 INFO E: 0 B: 308
06-28 14:05:53 INFO E: 0 B: 309
06-28 14:05:54 INFO E: 0 B: 310
06-28 14:05:55 INFO E: 0 B: 311
06-28 14:05:57 INFO E: 0 B: 312
06-28 14:05:58 INFO E: 0 B: 313
06-28 14:05:59 INFO E: 0 B: 314
06-28 14:06:00 INFO E: 0 B: 315
06-28 14:06:01 INFO E: 0 B: 316
06-28 14:06:02 INFO E: 0 B: 317
06-28 14:06:03 INFO E: 0 B: 318
06-28 14:06:04 INFO E: 0 B: 319
06-28 14:06:05 INFO E: 0 B: 320
06-28 14:06:07 INFO E: 0 B: 321
06-28 14:06:08 INFO E: 0 B: 322
06-28 14:06:09 INFO E: 0 B: 323
06-28 14:06:10 INFO E: 0 B: 324
06-28 14:06:11 INFO E: 0 B: 325
06-28 14:06:12 INFO E: 0 B: 326
06-28 14:06:13 INFO E: 0 B: 327
06-28 14:06:14 INFO E: 0 B: 328
06-28 14:06:16 INFO E: 0 B: 329
06-28 14:06:17 INFO E: 0 B: 330
06-28 14:06:18 INFO E: 0 B: 331
06-28 14:06:19 INFO E: 0 B: 332
06-28 14:06:20 INFO E: 0 B: 333
06-28 14:06:20 INFO E: 0 B: 334
06-28 14:06:22 INFO E: 0 B: 335
06-28 14:06:22 INFO E: 0 B: 336
06-28 14:06:23 INFO E: 0 B: 337
06-28 14:06:24 INFO E: 0 B: 338
06-28 14:06:26 INFO E: 0 B: 339
06-28 14:06:26 INFO E: 0 B: 340
06-28 14:06:27 INFO E: 0 B: 341
06-28 14:06:28 INFO E: 0 B: 342
06-28 14:06:29 INFO E: 0 B: 343
06-28 14:06:31 INFO E: 0 B: 344
06-28 14:06:32 INFO E: 0 B: 345
06-28 14:06:33 INFO E: 0 B: 346
06-28 14:06:34 INFO E: 0 B: 347
06-28 14:06:35 INFO E: 0 B: 348
06-28 14:06:36 INFO E: 0 B: 349
06-28 14:06:37 INFO E: 0 B: 350
06-28 14:06:38 INFO E: 0 B: 351
06-28 14:06:39 INFO E: 0 B: 352
06-28 14:06:41 INFO E: 0 B: 353
06-28 14:06:42 INFO E: 0 B: 354
06-28 14:06:43 INFO E: 0 B: 355
06-28 14:06:45 INFO E: 0 B: 356
06-28 14:06:46 INFO E: 0 B: 357
06-28 14:06:47 INFO E: 0 B: 358
06-28 14:06:48 INFO E: 0 B: 359
06-28 14:06:50 INFO E: 0 B: 360
06-28 14:06:50 INFO E: 0 B: 361
06-28 14:06:51 INFO E: 0 B: 362
06-28 14:06:52 INFO E: 0 B: 363
06-28 14:06:54 INFO E: 0 B: 364
06-28 14:06:55 INFO E: 0 B: 365
06-28 14:06:56 INFO E: 0 B: 366
06-28 14:06:57 INFO E: 0 B: 367
06-28 14:06:58 INFO E: 0 B: 368
06-28 14:06:59 INFO E: 0 B: 369
06-28 14:07:00 INFO E: 0 B: 370
06-28 14:07:01 INFO E: 0 B: 371
06-28 14:07:02 INFO E: 0 B: 372
06-28 14:07:03 INFO E: 0 B: 373
06-28 14:07:04 INFO E: 0 B: 374
06-28 14:07:06 INFO E: 0 B: 375
06-28 14:07:07 INFO E: 0 B: 376
06-28 14:07:08 INFO E: 0 B: 377
06-28 14:07:09 INFO E: 0 B: 378
06-28 14:07:10 INFO E: 0 B: 379
06-28 14:07:12 INFO E: 0 B: 380
06-28 14:07:13 INFO E: 0 B: 381
06-28 14:07:14 INFO E: 0 B: 382
06-28 14:07:15 INFO E: 0 B: 383
06-28 14:07:16 INFO E: 0 B: 384
06-28 14:07:17 INFO E: 0 B: 385
06-28 14:07:19 INFO E: 0 B: 386
06-28 14:07:20 INFO E: 0 B: 387
06-28 14:07:21 INFO E: 0 B: 388
06-28 14:07:22 INFO E: 0 B: 389
06-28 14:07:23 INFO E: 0 B: 390
06-28 14:07:24 INFO E: 0 B: 391
06-28 14:07:24 INFO E: 0 B: 392
06-28 14:07:25 INFO E: 0 B: 393
06-28 14:07:26 INFO E: 0 B: 394
06-28 14:07:28 INFO E: 0 B: 395
06-28 14:07:28 INFO E: 0 B: 396
06-28 14:07:29 INFO E: 0 B: 397
06-28 14:07:31 INFO E: 0 B: 398
06-28 14:07:32 INFO E: 0 B: 399
06-28 14:07:33 INFO E: 0 B: 400
06-28 14:07:34 INFO E: 0 B: 401
06-28 14:07:35 INFO E: 0 B: 402
06-28 14:07:36 INFO E: 0 B: 403
06-28 14:07:37 INFO E: 0 B: 404
06-28 14:07:38 INFO E: 0 B: 405
06-28 14:07:39 INFO E: 0 B: 406
06-28 14:07:40 INFO E: 0 B: 407
06-28 14:07:42 INFO E: 0 B: 408
06-28 14:07:43 INFO E: 0 B: 409
06-28 14:07:44 INFO E: 0 B: 410
06-28 14:07:45 INFO E: 0 B: 411
06-28 14:07:46 INFO E: 0 B: 412
06-28 14:07:47 INFO E: 0 B: 413
06-28 14:07:48 INFO E: 0 B: 414
06-28 14:07:49 INFO E: 0 B: 415
06-28 14:07:50 INFO E: 0 B: 416
06-28 14:07:51 INFO E: 0 B: 417
06-28 14:07:52 INFO E: 0 B: 418
06-28 14:07:53 INFO E: 0 B: 419
06-28 14:07:55 INFO E: 0 B: 420
06-28 14:07:56 INFO E: 0 B: 421
06-28 14:07:57 INFO E: 0 B: 422
06-28 14:07:58 INFO E: 0 B: 423
06-28 14:07:59 INFO E: 0 B: 424
06-28 14:08:00 INFO E: 0 B: 425
06-28 14:08:01 INFO E: 0 B: 426
06-28 14:08:02 INFO E: 0 B: 427
06-28 14:08:03 INFO E: 0 B: 428
06-28 14:08:04 INFO E: 0 B: 429
06-28 14:08:05 INFO E: 0 B: 430
06-28 14:08:06 INFO E: 0 B: 431
06-28 14:08:07 INFO E: 0 B: 432
06-28 14:08:08 INFO E: 0 B: 433
06-28 14:08:09 INFO E: 0 B: 434
06-28 14:08:10 INFO E: 0 B: 435
06-28 14:08:11 INFO E: 0 B: 436
06-28 14:08:12 INFO E: 0 B: 437
06-28 14:08:14 INFO E: 0 B: 438
06-28 14:08:15 INFO E: 0 B: 439
06-28 14:08:15 INFO E: 0 B: 440
06-28 14:08:17 INFO E: 0 B: 441
06-28 14:08:18 INFO E: 0 B: 442
06-28 14:08:19 INFO E: 0 B: 443
06-28 14:08:19 INFO E: 0 B: 444
06-28 14:08:21 INFO E: 0 B: 445
06-28 14:08:23 INFO E: 0 B: 446
06-28 14:08:24 INFO E: 0 B: 447
06-28 14:08:25 INFO E: 0 B: 448
06-28 14:08:26 INFO E: 0 B: 449
06-28 14:08:27 INFO E: 0 B: 450
06-28 14:08:28 INFO E: 0 B: 451
06-28 14:08:29 INFO E: 0 B: 452
06-28 14:08:30 INFO E: 0 B: 453
06-28 14:08:32 INFO E: 0 B: 454
06-28 14:08:32 INFO E: 0 B: 455
06-28 14:08:33 INFO E: 0 B: 456
06-28 14:08:34 INFO E: 0 B: 457
06-28 14:08:35 INFO E: 0 B: 458
06-28 14:08:36 INFO E: 0 B: 459
06-28 14:08:37 INFO E: 0 B: 460
06-28 14:08:38 INFO E: 0 B: 461
06-28 14:08:39 INFO E: 0 B: 462
06-28 14:08:40 INFO E: 0 B: 463
06-28 14:08:41 INFO E: 0 B: 464
06-28 14:08:43 INFO E: 0 B: 465
06-28 14:08:44 INFO E: 0 B: 466
06-28 14:08:45 INFO E: 0 B: 467
06-28 14:08:46 INFO E: 0 B: 468
06-28 14:08:47 INFO E: 0 B: 469
06-28 14:08:48 INFO E: 0 B: 470
06-28 14:08:50 INFO E: 0 B: 471
06-28 14:08:51 INFO E: 0 B: 472
06-28 14:08:52 INFO E: 0 B: 473
06-28 14:08:53 INFO E: 0 B: 474
06-28 14:08:54 INFO E: 0 B: 475
06-28 14:08:56 INFO E: 0 B: 476
06-28 14:08:57 INFO E: 0 B: 477
06-28 14:08:58 INFO E: 0 B: 478
06-28 14:08:59 INFO E: 0 B: 479
06-28 14:08:59 INFO E: 0 B: 480
06-28 14:09:00 INFO E: 0 B: 481
06-28 14:09:01 INFO E: 0 B: 482
06-28 14:09:03 INFO E: 0 B: 483
06-28 14:09:04 INFO E: 0 B: 484
06-28 14:09:05 INFO E: 0 B: 485
06-28 14:09:06 INFO E: 0 B: 486
06-28 14:09:07 INFO E: 0 B: 487
06-28 14:09:08 INFO E: 0 B: 488
06-28 14:09:09 INFO E: 0 B: 489
06-28 14:09:10 INFO E: 0 B: 490
06-28 14:09:11 INFO E: 0 B: 491
06-28 14:09:12 INFO E: 0 B: 492
06-28 14:09:13 INFO E: 0 B: 493
06-28 14:09:14 INFO E: 0 B: 494
06-28 14:09:15 INFO E: 0 B: 495
06-28 14:09:16 INFO E: 0 B: 496
06-28 14:09:18 INFO E: 0 B: 497
06-28 14:09:19 INFO E: 0 B: 498
06-28 14:09:21 INFO E: 0 B: 499
06-28 14:09:22 INFO E: 0 B: 500
06-28 14:09:23 INFO E: 0 B: 501
06-28 14:09:24 INFO E: 0 B: 502
06-28 14:09:25 INFO E: 0 B: 503
06-28 14:09:26 INFO E: 0 B: 504
06-28 14:09:28 INFO E: 0 B: 505
06-28 14:09:29 INFO E: 0 B: 506
06-28 14:09:30 INFO E: 0 B: 507
06-28 14:09:31 INFO E: 0 B: 508
06-28 14:09:33 INFO E: 0 B: 509
06-28 14:09:33 INFO E: 0 B: 510
06-28 14:09:35 INFO E: 0 B: 511
06-28 14:09:36 INFO E: 0 B: 512
06-28 14:09:36 INFO E: 0 B: 513
06-28 14:09:37 INFO E: 0 B: 514
06-28 14:09:39 INFO E: 0 B: 515
06-28 14:09:40 INFO E: 0 B: 516
06-28 14:09:41 INFO E: 0 B: 517
06-28 14:09:42 INFO E: 0 B: 518
06-28 14:09:44 INFO E: 0 B: 519
06-28 14:09:45 INFO E: 0 B: 520
06-28 14:09:46 INFO E: 0 B: 521
06-28 14:09:48 INFO E: 0 B: 522
06-28 14:09:50 INFO E: 0 B: 523
06-28 14:09:51 INFO E: 0 B: 524
06-28 14:09:52 INFO E: 0 B: 525
06-28 14:09:53 INFO E: 0 B: 526
06-28 14:09:55 INFO E: 0 B: 527
06-28 14:09:56 INFO E: 0 B: 528
06-28 14:09:57 INFO E: 0 B: 529
06-28 14:09:58 INFO E: 0 B: 530
06-28 14:10:00 INFO E: 0 B: 531
06-28 14:10:01 INFO E: 0 B: 532
06-28 14:10:02 INFO E: 0 B: 533
06-28 14:10:03 INFO E: 0 B: 534
06-28 14:10:04 INFO E: 0 B: 535
06-28 14:10:05 INFO E: 0 B: 536
06-28 14:10:06 INFO E: 0 B: 537
06-28 14:10:08 INFO E: 0 B: 538
06-28 14:10:08 INFO E: 0 B: 539
06-28 14:10:10 INFO E: 0 B: 540
06-28 14:10:11 INFO E: 0 B: 541
06-28 14:10:12 INFO E: 0 B: 542
06-28 14:10:13 INFO E: 0 B: 543
06-28 14:10:14 INFO E: 0 B: 544
06-28 14:10:15 INFO E: 0 B: 545
06-28 14:10:16 INFO E: 0 B: 546
06-28 14:10:17 INFO E: 0 B: 547
06-28 14:10:18 INFO E: 0 B: 548
06-28 14:10:19 INFO E: 0 B: 549
06-28 14:10:20 INFO E: 0 B: 550
06-28 14:10:22 INFO E: 0 B: 551
06-28 14:10:23 INFO E: 0 B: 552
06-28 14:10:25 INFO E: 0 B: 553
06-28 14:10:26 INFO E: 0 B: 554
06-28 14:10:26 INFO E: 0 B: 555
06-28 14:10:27 INFO E: 0 B: 556
06-28 14:10:29 INFO E: 0 B: 557
06-28 14:10:30 INFO E: 0 B: 558
06-28 14:10:31 INFO E: 0 B: 559
06-28 14:10:32 INFO E: 0 B: 560
06-28 14:10:33 INFO E: 0 B: 561
06-28 14:10:34 INFO E: 0 B: 562
06-28 14:10:35 INFO E: 0 B: 563
06-28 14:10:36 INFO E: 0 B: 564
06-28 14:10:38 INFO E: 0 B: 565
06-28 14:10:39 INFO E: 0 B: 566
06-28 14:10:40 INFO E: 0 B: 567
06-28 14:10:41 INFO E: 0 B: 568
06-28 14:10:42 INFO E: 0 B: 569
06-28 14:10:43 INFO E: 0 B: 570
06-28 14:10:44 INFO E: 0 B: 571
06-28 14:10:45 INFO E: 0 B: 572
06-28 14:10:47 INFO E: 0 B: 573
06-28 14:10:48 INFO E: 0 B: 574
06-28 14:10:49 INFO E: 0 B: 575
06-28 14:10:50 INFO E: 0 B: 576
06-28 14:10:51 INFO E: 0 B: 577
06-28 14:10:52 INFO E: 0 B: 578
06-28 14:10:54 INFO E: 0 B: 579
06-28 14:10:55 INFO E: 0 B: 580
06-28 14:10:56 INFO E: 0 B: 581
06-28 14:10:57 INFO E: 0 B: 582
06-28 14:10:58 INFO E: 0 B: 583
06-28 14:10:59 INFO E: 0 B: 584
06-28 14:11:01 INFO E: 0 B: 585
06-28 14:11:02 INFO E: 0 B: 586
06-28 14:11:03 INFO E: 0 B: 587
06-28 14:11:04 INFO E: 0 B: 588
06-28 14:11:05 INFO E: 0 B: 589
06-28 14:11:06 INFO E: 0 B: 590
06-28 14:11:08 INFO E: 0 B: 591
06-28 14:11:08 INFO E: 0 B: 592
06-28 14:11:10 INFO E: 0 B: 593
06-28 14:11:11 INFO E: 0 B: 594
